mol%HfO2,"Ms (K, Eddie)","T0 (K, Eddie)",Ms (K),T0 (K),T0 (C),"T0 (C, corr)"
0.0,1314.4,1470.3,1217.0,1367.0,1094.0,1203.456174927011
0.502512563,1318.349469,1474.430863,1220.949469,1371.130863,1098.130863,1207.5870379270111
1.005025126,1322.292349,1478.544958,1224.892349,1375.244958,1102.244958,1211.701132927011
1.5075376880000002,1326.22864,1482.642286,1228.82864,1379.3422859999998,1106.3422859999998,1215.7984609270109
2.010050251,1330.158341,1486.722847,1232.758341,1383.422847,1110.422847,1219.879021927011
2.5125628140000003,1334.081454,1490.78664,1236.6814539999998,1387.48664,1114.48664,1223.942814927011
3.015075377,1337.997977,1494.833667,1240.597977,1391.533667,1118.533667,1227.989841927011
3.51758794,1341.907911,1498.863926,1244.507911,1395.563926,1122.563926,1232.020100927011
4.020100503,1345.811255,1502.877418,1248.411255,1399.577418,1126.577418,1236.0335929270111
4.522613065,1349.708011,1506.874142,1252.3080109999999,1403.574142,1130.574142,1240.030316927011
5.0251256280000005,1353.5981769999999,1510.8541,1256.198177,1407.5541,1134.5541,1244.010274927011
5.527638191,1357.481754,1514.81729,1260.0817539999998,1411.51729,1138.51729,1247.973464927011
6.030150754,1361.358741,1518.763713,1263.958741,1415.463713,1142.463713,1251.9198879270111
6.532663317000001,1365.2291400000001,1522.693368,1267.82914,1419.393368,1146.393368,1255.849542927011
7.035175879,1369.092949,1526.606256,1271.692949,1423.306256,1150.306256,1259.762430927011
7.537688442,1372.950169,1530.502377,1275.5501689999999,1427.2023769999998,1154.2023769999998,1263.6585519270109
8.040201005,1376.8008,1534.381731,1279.4008,1431.081731,1158.081731,1267.537905927011
8.542713568,1380.644842,1538.244318,1283.244842,1434.944318,1161.944318,1271.400492927011
9.045226131,1384.482294,1542.090137,1287.082294,1438.790137,1165.790137,1275.246311927011
9.547738693,1388.313157,1545.919189,1290.913157,1442.619189,1169.619189,1279.075363927011
10.05025126,1392.137431,1549.731474,1294.737431,1446.431474,1173.431474,1282.887648927011
10.55276382,1395.955116,1553.526991,1298.555116,1450.226991,1177.226991,1286.683165927011
11.05527638,1399.7662109999999,1557.305742,1302.366211,1454.005742,1181.005742,1290.461916927011
11.55778894,1403.570717,1561.067725,1306.170717,1457.767725,1184.767725,1294.223899927011
12.06030151,1407.368634,1564.812941,1309.968634,1461.512941,1188.512941,1297.969115927011
12.56281407,1411.159962,1568.541389,1313.7599619999999,1465.241389,1192.241389,1301.697563927011
13.06532663,1414.9447,1572.25307,1317.5447,1468.95307,1195.95307,1305.409244927011
13.5678392,1418.72285,1575.947984,1321.32285,1472.647984,1199.647984,1309.104158927011
14.07035176,1422.49441,1579.626131,1325.09441,1476.326131,1203.326131,1312.782305927011
14.57286432,1426.259381,1583.287511,1328.859381,1479.987511,1206.987511,1316.443685927011
15.07537688,1430.017762,1586.932123,1332.6177619999999,1483.632123,1210.632123,1320.0882979270111
15.57788945,1433.769555,1590.559968,1336.369555,1487.259968,1214.259968,1323.716142927011
16.08040201,1437.514758,1594.1710460000002,1340.114758,1490.871046,1217.871046,1327.327220927011
16.58291457,1441.2533720000001,1597.765356,1343.853372,1494.4653560000002,1221.4653560000002,1330.9215309270112
17.08542714,1444.985396,1601.342899,1347.5853960000002,1498.042899,1225.042899,1334.499073927011
17.5879397,1448.710832,1604.903675,1351.3108320000001,1501.603675,1228.603675,1338.059849927011
18.09045226,1452.429678,1608.447684,1355.0296779999999,1505.147684,1232.147684,1341.603858927011
18.59296482,1456.1419349999999,1611.9749259999999,1358.741935,1508.674926,1235.674926,1345.131100927011
19.09547739,1459.847603,1615.4854,1362.4476029999998,1512.1854,1239.1854,1348.641574927011
19.59798995,1463.546681,1618.979107,1366.146681,1515.679107,1242.679107,1352.135281927011
20.10050251,1467.2391710000002,1622.4560470000001,1369.839171,1519.1560470000002,1246.1560470000002,1355.6122219270112
20.60301508,1470.9250710000001,1625.916219,1373.525071,1522.616219,1249.616219,1359.072393927011
21.10552764,1474.604382,1629.359624,1377.2043820000001,1526.059624,1253.059624,1362.515798927011
21.6080402,1478.277103,1632.7862619999999,1380.877103,1529.486262,1256.486262,1365.942436927011
22.11055276,1481.9432359999998,1636.196133,1384.543236,1532.896133,1259.896133,1369.352307927011
22.61306533,1485.6027789999998,1639.589236,1388.202779,1536.2892359999998,1263.2892359999998,1372.7454109270109
23.11557789,1489.255733,1642.965573,1391.855733,1539.665573,1266.665573,1376.121747927011
23.61809045,1492.902098,1646.325142,1395.502098,1543.025142,1270.025142,1379.481316927011
24.12060302,1496.5418730000001,1649.667943,1399.141873,1546.367943,1273.367943,1382.824117927011
24.62311558,1500.175059,1652.993978,1402.775059,1549.693978,1276.693978,1386.150152927011
25.12562814,1503.801657,1656.3032449999998,1406.4016570000001,1553.0032449999999,1280.0032449999999,1389.459419927011
25.6281407,1507.421664,1659.5957449999999,1410.021664,1556.295745,1283.295745,1392.751919927011
26.13065327,1511.035083,1662.871477,1413.635083,1559.571477,1286.571477,1396.027651927011
26.63316583,1514.6419119999998,1666.130443,1417.241912,1562.830443,1289.830443,1399.286617927011
27.13567839,1518.242152,1669.372641,1420.842152,1566.072641,1293.072641,1402.528815927011
27.63819095,1521.835803,1672.598072,1424.4358029999999,1569.298072,1296.298072,1405.754246927011
28.14070352,1525.422865,1675.806736,1428.0228650000001,1572.506736,1299.506736,1408.962910927011
28.64321608,1529.003338,1678.998632,1431.6033380000001,1575.698632,1302.698632,1412.1548069270111
29.14572864,1532.577221,1682.173761,1435.1772210000001,1578.8737609999998,1305.8737609999998,1415.3299359270109
29.64824121,1536.144515,1685.3321230000001,1438.744515,1582.032123,1309.032123,1418.488297927011
30.15075377,1539.7052199999998,1688.473718,1442.30522,1585.173718,1312.173718,1421.629892927011
30.65326633,1543.259335,1691.5985449999998,1445.8593349999999,1588.2985449999999,1315.2985449999999,1424.754719927011
31.15577889,1546.806861,1694.706605,1449.406861,1591.4066050000001,1318.4066050000001,1427.8627799270112
31.65829146,1550.3477990000001,1697.797898,1452.947799,1594.497898,1321.497898,1430.954072927011
32.16080402,1553.8821460000001,1700.872424,1456.482146,1597.572424,1324.572424,1434.028598927011
32.66331658,1557.409905,1703.930182,1460.0099050000001,1600.630182,1327.630182,1437.0863569270111
33.16582915,1560.931074,1706.9711730000001,1463.531074,1603.671173,1330.671173,1440.127347927011
33.66834171,1564.445655,1709.995397,1467.0456550000001,1606.695397,1333.695397,1443.151571927011
34.17085427,1567.9536460000002,1713.0028539999998,1470.553646,1609.702854,1336.702854,1446.159028927011
34.67336683,1571.4550470000001,1715.993543,1474.055047,1612.6935429999999,1339.6935429999999,1449.149717927011
35.1758794,1574.94986,1718.967465,1477.5498599999999,1615.667465,1342.667465,1452.123639927011
35.67839196,1578.438083,1721.92462,1481.038083,1618.6246199999998,1345.6246199999998,1455.0807949270109
36.18090452,1581.919717,1724.8650079999998,1484.519717,1621.565008,1348.565008,1458.021182927011
